PCA1,PCA2,Target
-1.4375119007059414,1.5741164584731926,2
1.8397567733130653,3.5746711746170496,1
-0.4652866424530703,0.5817603547611425,2
-0.62438186570901,2.266433626425303,1
-2.089723246589352,2.1698446935308002,2
-1.123013808673367,0.9206581710961317,2
-0.8533789330229469,0.3019217751209697,2
-1.3823787341953406,0.6452902261990217,2
-1.4806755471982898,0.9912395505201629,2
-0.8377454360037425,1.7397175675919727,2
-1.115542931881241,0.9610653600741604,2
0.19939278199796584,3.1062729696092743,1
0.009303581801627027,4.257164112180046,1
-0.5217267509228591,1.130301780151005,2
-0.7480870580976078,0.920579047570841,2
-0.8441924353002329,0.9972737559249926,2
-0.2581549504865101,1.4682851633395648,1
-1.4278065872865118,1.3405541420348328,2
-2.3227778987445187,0.37580380261760615,2
-0.9125749390043869,-0.14882597162378908,2
0.3510138033808908,1.4114865667806786,1
-1.3954159472118508,0.8106646340719063,2
-1.3572695670987716,-0.006099764491186671,2
-1.526660308548321,0.04322802511578801,2
-1.9514820796516161,0.11626991913345437,2
-1.680089502547416,0.02400448464767434,2
-1.7928789205563833,0.201431133637286,2
-0.7515575919408815,0.5164711413561992,2
-2.1540221377345485,0.17173873314357116,2
-0.21182088758509454,-0.4208811768520637,2
-1.4999478901949928,-0.017073317044494118,2
-1.8657225075682018,0.3586511152630674,2
-1.8570052885404251,0.07772862783542465,2
-1.8762123707805556,0.04915997223915754,2
-1.7229300071535145,0.2716003670000481,2
-0.6991466033477012,0.18532175908541745,2
-1.8691279324167542,0.009675374728556294,2
-2.283443612023794,0.18124590939789334,2
-1.6757128322167802,-0.020477914545180335,2
0.2769136077567175,3.0925365000143086,1
-0.8488776257823074,-0.35075681171015677,2
-1.99925688312726,0.027351760438448707,2
-2.2287012404750333,0.07034911907486391,2
-1.6888639396716978,1.0337144975772234,2
-2.0740628494758035,0.15162679579523974,2
-1.5116103988200884,0.21582318145746596,2
-1.8861134020933876,0.5008392546547145,2
0.21712331987148462,-0.6550095326633197,0
-1.6350447922199463,-0.18252558198480917,2
-1.6818135257103368,-0.169345377093457,2
-1.5145935662283547,-0.2220258237538898,2
-1.824370656829328,0.2530638516924536,2
-1.5709209357705038,-0.017633553402144755,2
-1.6456053537812383,-0.1715763469347582,2
-1.1444163132484442,0.3072063806070916,2
-1.0982806035688764,-0.3973993415251694,2
-1.711883913616032,-0.11171056831988886,2
-0.8453499272684872,-0.3592833406550787,2
-1.825551506163094,0.5108511428060002,2
