PCA1,PCA2,PCA3,Target
-1.2215223460656484,-0.8553919495251543,-0.09671694925402263,0
-1.6482459218289132,-0.35062413629324835,0.12825674908959078,0
-0.5535271867028675,1.4150580269868627,-0.6335170318314491,0
-1.1676413195188873,-0.47749221807103476,0.06681680097985644,0
-1.4109249003504238,-0.8971188690736017,-0.19728892993371677,0
-1.18216665626297,2.0127048247798416,-1.212028117095152,0
-0.9607188012922295,-0.9951948261973922,-0.0111492061185592,0
-1.2612892104044684,-0.05622354040283068,0.5633551979328255,0
-1.8232936828102944,-0.5363091438866825,-0.11779658259373216,0
-2.2217673796336577,1.9142191084078932,-1.391859428428813,0
-1.0065499970268863,0.7642843182082659,1.0039733219707871,0
-2.61273234414197,-0.46852318820856187,-0.40843184262254145,0
-2.1292958572974414,1.2154835935331103,-1.0255032443352174,0
-2.3387661911824065,-0.5708504659743889,-0.49784864294073305,0
-1.3811086829960788,-0.8253752048793757,0.04458638318493802,0
-1.2086289797658758,0.3583605597960446,0.9088707183868908,0
-0.8655269255671818,2.5435733448087725,-0.9035860476092125,0
-1.1471694372628696,0.2609881382049134,0.858235458082135,0
-1.4046731691490724,0.8006726248040632,-0.31953804980423944,0
-2.097192642327515,-0.21439485842690434,0.26038971079689216,0
-1.6551025597874987,1.0132892223418355,-0.3791695499431703,0
-1.9840472442063324,1.3464595049196924,-0.169174614434431,0
-1.867114548303175,1.2194912967966032,-0.2362998320383906,0
-2.437451840583475,-0.7880111046167406,-0.2688884750145424,0
-1.906345066622599,1.3840970883427908,0.3000795055614192,0
-1.808935185038237,1.7430609019905496,-0.4943910729567712,0
-1.9234918033220125,0.9818324156545296,-0.12052093873748207,0
-1.6110296547188203,1.2299324992951266,-0.5037785420192299,0
-1.6003137412262,0.4341454999292023,1.034922072758549,0
-1.5462564728333206,-0.7936545754527108,0.23877610036195043,0
-1.576126869631358,2.7061696011287477,-0.3718065836367538,0
-0.783756748567997,2.5867845517027432,-0.23595653973389097,0
-1.5363717290098928,-0.7653606513322369,0.24146816912328267,0
-2.487476455492096,-0.11986556827256165,0.14024309713865177,0
-2.1436048882874723,-0.8117646645611992,0.002944596595413179,0
-2.154218564111667,-0.4826496745408215,0.22504845720118472,0
-1.7779791799099391,1.1333482977731704,-0.4831820324995832,0
-2.202331549451497,-0.47683749132664655,0.20607591382969365,0
-1.7184815439672088,-0.8246746103388352,0.20020639348767852,0
-1.185557495094391,2.5883788491207618,-0.22533254570231742,0
-2.5152089651570306,-0.48552094641369753,-0.04358192716405782,0
-1.6602160905019492,0.728241995839878,-0.0689684725979094,0
-1.8846853399715542,-0.5304702122524061,0.30486635871081214,0
-1.7745982670711964,-0.7849438153446728,0.19237964325772225,0
-1.9748676294598053,-0.10117023534254174,0.3387368614104866,0
-2.2304414020236156,0.8847803088598932,-0.16919016452768013,0
-2.061219858836005,-0.5432682850539836,0.2149101805081793,0
-1.7920059427463821,0.7391101715741734,-0.034757331830254194,0
-1.7965607738333198,-0.512738625717994,0.36872427603491964,0
-1.9359593027840332,0.9753031362785113,-0.17139961703292042,0
-1.650742252875239,0.9373032368595131,0.1954597249474307,0
-1.6650689107953458,-0.9632337922767724,0.3132864243318328,0
-1.4597997702328454,-0.6541367944160129,0.6355216388813386,0
-1.558984195622011,-1.0029732789764312,0.33729013221475174,0
-1.0717235395641418,0.8286855852139776,0.5548976620780995,0
-2.1709085217257145,-0.8913042377437101,0.06193297231436117,0
-2.526333269225004,-0.39580544124713263,0.1881423359655877,0
-2.1052718933828407,0.8150211126555332,-0.19139048184214458,0
-2.1374725676472512,2.3475405032516212,1.9017290846128059,0
-2.3269425835081505,-0.0709739179329791,0.4777597092620707,0
-1.9647829121519393,-0.48341159157068175,0.48327305132760034,0
-2.241802741987842,-0.4163029231530142,0.3786572373326664,0
-2.0334356836707745,-0.7316056838411259,0.3004040312225151,0
-1.4871425498883826,1.085441350171082,0.41666194424841513,0
-2.0467388591546367,-0.752707076619929,0.27636055688207306,0
-1.9991537176307628,-0.6736759096212996,0.368182218494798,0
-1.6567285695954552,2.326149928524182,-0.10483281019436509,0
-2.596530463498783,0.7376948504571018,-0.22406270423860666,0
-2.210341982869036,-0.6476694422089272,0.2565911330054589,0
-2.1721811078297257,-0.8432362820686568,0.14233336868813354,0
-2.003914989074459,-0.5148928877207374,0.4038411153427723,0
-2.057382594703224,0.7740367313953918,-0.260036964675798,0
-2.1837129693687305,-0.4926491657608829,0.376760545039102,0
-1.935386282757184,0.7897552700294974,-0.01373373140917225,0
-2.1436679415338644,1.0049941322305211,-0.023655915467499126,0
-1.5367405399343494,1.3459630211831737,1.6701388705843658,0
-1.8531985923806207,-0.5920866794809309,0.4388506887046686,0
-1.382052361172393,1.1469559913516998,0.48334638154048815,0
-1.6444502903757539,-0.9828011951472245,0.30381769776926715,0
-1.864846831814625,1.2857797684423737,0.5247912977866044,0
