cpu_usage,memory_usage,temperature,battery_drain,upload_speed_kbps,download_speed_kbps,Target
24.0,68.0,27.5,-22.99999999999997,0.04356413,0.0,0
39.0,73.0,34.9,-199.0,6.8383617,6.870113999999999,2
45.0,68.0,29.1,-30.00000000000003,0.6657828000000001,0.0,0
27.0,82.0,34.0,-201.0,0.0,0.0480754300000003,1
24.0,65.0,28.5,-26.0,0.0290715699999999,0.0,0
51.0,80.0,33.9,-359.0,0.8528824000000002,0.16717467,1
33.0,65.0,30.8,-73.0,4.415498,7.802320499999999,0
41.0,78.0,36.9,-249.0,2.2057936,0.6866150499999999,1
37.0,78.0,32.1,-147.0,0.76243174,0.0635359700000002,1
26.0,69.0,34.9,-122.0,0.06312935,0.124801874,0
69.0,72.0,34.3,-471.0,0.07278726,0.0126164590000001,1
31.0,66.0,30.3,-31.0,0.0,0.0,0
59.0,75.0,37.4,-430.0,1.1856692,20.881426,1
24.0,67.0,28.5,-21.99999999999997,0.0436181719999999,0.0,0
49.0,72.0,34.2,-313.0,0.4219294200000001,0.39422208,1
33.0,65.0,33.7,-184.0,0.5252263500000001,0.3764768200000006,0
24.0,68.0,29.1,-23.99999999999997,0.6920141000000002,0.0,0
24.0,68.0,29.1,-27.0,0.3671469,0.0,0
37.0,67.0,32.1,-154.0,1.7383007,17.809493999999997,0
24.0,68.0,27.5,-27.0,0.69047433,0.0,0
42.0,78.0,35.0,-222.0,2.6779459999999995,0.5555339500000009,1
24.0,67.0,28.5,-28.0,0.6633072,0.0,0
24.0,67.0,28.5,-31.99999999999997,0.043520983,0.0,0
24.0,66.0,28.6,-199.0,0.6911578,0.0,0
26.0,77.0,28.7,-115.0,0.69390523,0.053862575000001,0
24.0,67.0,28.5,-26.0,0.3679660600000001,0.0,0
45.0,75.0,35.8,-267.0,0.0417313649999999,0.0126164590000001,1
26.0,68.0,29.1,-52.0,0.6633072,0.0,0
38.0,70.0,30.6,-204.0,0.9289253,15.242929,1
24.0,68.0,28.5,-30.00000000000003,0.6810302000000001,0.1567143400000006,0
24.0,66.0,31.8,-9.0,0.032780875,0.0004361601,0
54.0,66.0,32.4,-402.0,0.2995277599999999,0.3007423999999998,1
24.0,67.0,27.3,-25.00000000000003,0.3964263800000002,0.0,0
47.0,78.0,31.4,-276.0,0.0,0.0,1
34.0,79.0,36.5,-199.0,1.9366266,0.0958365650000003,1
35.0,66.0,31.7,-46.0,0.014912566,0.0084321830000009,0
27.0,74.0,28.4,-70.0,0.0144854759999999,0.0,0
49.0,74.0,36.8,-440.0000000000001,6.4418516,9.735892,2
54.0,77.0,32.3,-344.0,1.4443624,48.682697,2
59.0,75.0,37.0,-373.0,5.955302200000001,2.2689068,2
37.0,78.0,33.5,-232.0,0.0,0.0,1
24.0,75.0,37.0,-220.0,2.3075345,0.0619732300000004,1
50.0,71.0,32.8,-208.0,0.9225658,0.118452296,1
35.0,66.0,31.7,-46.0,0.014912566,0.0084321830000009,0
62.0,67.0,32.4,-33.0,0.0114348429999999,0.0047849809999997,1
34.0,68.0,31.0,-27.0,0.0872147099999999,0.0,0
49.0,74.0,37.6,-387.0,2.2390313,2.2400053,1
28.0,67.0,32.6,-31.0,0.0,0.0,0
35.0,70.0,31.8,-259.0,1.2656268999999998,0.25074884,1
36.0,64.0,33.7,-116.0,1.9759998,11.400206,0
35.0,78.0,32.1,-178.0,0.0,0.0,1
50.0,75.0,37.8,-383.0,1.1340256,0.3879561000000002,1
49.0,74.0,35.5,-267.0,3.5090494000000003,4.1283507,1
24.0,67.0,28.5,-29.00000000000003,0.35317838,0.0,0
34.0,72.0,35.3,-146.0,0.0,0.0,1
31.0,77.0,33.3,-130.0,0.3395895399999999,0.0,1
