cpu_usage,memory_usage,temperature,battery_level,battery_drain,upload_speed_kbps,download_speed_kbps,brightness,Target
82.0,79.0,34.9,39.0,-499.0,1.2262849,1.4604752999999988,31.0,0
80.0,79.0,34.9,39.0,-468.0,0.10237370999999995,0.11769329999999911,31.0,0
86.0,79.0,34.9,39.0,-471.0,0.19910026999999997,0.1575805800000012,31.0,0
89.0,79.0,34.9,39.0,-607.0,0.0126415849999999,0.028929780999998655,31.0,0
81.0,79.0,34.9,39.0,-571.0,0.7771648,0.38858240000000066,31.0,0
83.0,79.0,34.9,39.0,-594.0,0.025239188000000023,0.06091381199999901,31.0,0
71.0,79.0,34.9,39.0,-624.0,0.1830598699999999,0.72008413,31.0,0
69.0,79.0,34.9,39.0,-654.0,2.4587972,1.9088574999999999,31.0,0
65.0,78.0,34.9,39.0,-440.0,0.4131049200000001,0.5471572000000009,31.0,0
67.0,79.0,35.0,38.0,-443.0,0.5659539999999998,0.8751867000000004,31.0,0
68.0,79.0,35.0,38.0,-424.0,0.30687796999999994,0.25897390000000087,31.0,0
83.0,79.0,35.0,38.0,-557.0,0.012635294000000075,0.02697149500000151,31.0,0
72.0,79.0,35.0,38.0,-596.0,0.0,0.0,31.0,0
76.0,78.0,35.0,38.0,-668.0,5.970392,1.8877778999999997,31.0,0
70.0,78.0,35.0,38.0,-611.0,2.8946886,38.992016,31.0,0
74.0,79.0,35.0,38.0,-564.0,0.0,0.0,31.0,0
78.0,78.0,35.0,38.0,-574.0,2.9744415,0.15785531999999947,31.0,0
70.0,80.0,35.0,38.0,-504.0,2.9683802,81.53628,31.0,0
81.0,80.0,35.0,38.0,-422.0,1.5387299000000003,99.09241500000002,31.0,0
53.0,80.0,35.2,38.0,-532.0,2.0529923,0.2616964000000017,31.0,0
63.0,80.0,35.2,38.0,-400.0,0.14883504999999997,5.1977777,31.0,0
68.0,80.0,35.2,38.0,-513.0,1.3932486,0.47187146999999996,31.0,0
50.0,78.0,35.2,38.0,-461.0,1.2978737,94.95631400000002,31.0,0
63.0,78.0,35.2,38.0,-476.0,0.9222417,6.297579299999999,31.0,0
67.0,78.0,35.2,38.0,-507.0,0.08546743499999998,0.11630369999999957,31.0,0
62.0,78.0,35.2,38.0,-585.0,1.2149322,118.868,31.0,0
56.0,78.0,35.2,38.0,-453.0,0.06168785999999993,0.012629011000001356,31.0,0
63.0,80.0,35.2,38.0,-438.0,2.3421938,0.13811940000000078,31.0,0
57.0,80.0,35.2,38.0,-666.0,0.7700240000000002,0.2152859900000017,31.0,0
88.0,80.0,35.2,38.0,-610.0,1.3313892,105.03572,31.0,0
51.0,79.0,35.4,37.0,-513.0,3.7717025,12.749957000000002,31.0,0
88.0,79.0,35.4,37.0,-674.0,0.6342323,0.10061406000000161,31.0,0
81.0,79.0,35.4,37.0,-640.0,1.0280628,77.640366,31.0,0
79.0,80.0,35.4,37.0,-621.0,0.13954365000000002,8.307953,31.0,0
64.0,79.0,35.4,37.0,-468.0,0.37974733000000005,0.05268872999999985,31.0,0
71.0,78.0,35.4,37.0,-425.0,3.3364074,0.6846329000000004,31.0,0
72.0,78.0,35.4,37.0,-389.0,2.0658894,133.72989,31.0,0
75.0,78.0,35.4,37.0,-365.0,3.1084845,1.733648200000001,31.0,0
75.0,78.0,35.4,37.0,-476.0,1.5604061,54.370255,31.0,0
77.0,78.0,35.8,37.0,-615.0,1.5404589,0.21919859999999858,31.0,0
77.0,78.0,35.8,37.0,-515.0,1.425995,66.29092,31.0,0
77.0,78.0,35.8,37.0,-635.0,2.3824525,59.55208,31.0,0
77.0,78.0,35.8,37.0,-592.0,2.047568,61.441895,31.0,0
86.0,79.0,35.8,37.0,-588.0,0.0524720139999999,0.07020561399999536,31.0,0
77.0,78.0,35.8,37.0,-608.0,3.2939532,44.57901,31.0,0
76.0,79.0,35.8,37.0,-561.0,2.0625508,87.922485,31.0,0
77.0,79.0,35.8,37.0,-561.0,2.0062861,51.50099,31.0,0
77.0,79.0,35.8,37.0,-468.0,1.3692286,79.50687,31.0,0
67.0,79.0,35.8,37.0,-519.0,3.436548,0.31013936000000086,31.0,0
75.0,79.0,35.8,37.0,-389.0,0.5180323,0.23995120000000014,31.0,0
77.0,79.0,35.8,37.0,-508.0,3.2501068,113.66726,31.0,0
64.0,79.0,35.8,37.0,-358.0,2.914125,122.53915,31.0,0
72.0,79.0,35.8,37.0,-414.0,0.5404017999999999,0.8937041000000008,31.0,0
77.0,79.0,35.8,37.0,-708.0,1.5909850999999997,0.2350263599999991,31.0,0
77.0,79.0,36.0,37.0,-553.0,0.17009051000000008,0.09646562000000003,31.0,0
77.0,79.0,36.0,37.0,-567.0,0.9736502,0.020870867999999376,31.0,0
67.0,79.0,36.0,37.0,-594.0,1.1635587,76.59791000000001,31.0,0
80.0,79.0,36.0,37.0,-556.0,0.97826594,0.0,31.0,0
76.0,78.0,36.0,37.0,-460.0,0.33840552,0.012641585000000788,31.0,0
77.0,78.0,36.0,37.0,-397.0,3.02642,116.90702000000002,31.0,0
77.0,78.0,36.0,37.0,-729.0,0.6756336699999999,0.009707379999998267,31.0,0
77.0,78.0,36.0,37.0,-488.0,1.5157747000000001,51.906834,31.0,0
77.0,78.0,36.0,37.0,-516.0,0.96198696,0.0,31.0,0
77.0,78.0,36.0,37.0,-471.0,0.4007408000000001,0.13447187999999954,31.0,0
77.0,78.0,36.0,37.0,-561.0,1.5543842,7.826836,31.0,0
86.0,79.0,36.0,37.0,-561.0,1.7982655,49.30899,31.0,0
